random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,276
0,32405668,"""I do not feel my hand where I see it"": causal mapping of visuo-proprioceptive integration network in a surgical glioma patient","Mandonnet E, Margulies D, Stengel C, Dali M, Rheault F, Toba MN, Bonnetblanc F, Valero-Cabre A.",Acta Neurochir (Wien). 2020 Aug;162(8):1949-1955. doi: 10.1007/s00701-020-04399-2. Epub 2020 May 13.,Mandonnet E,Acta Neurochir (Wien),2020,2020/05/15,,,10.1007/s00701-020-04399-2,0,,,,,,,,,case-study,
1,31984759,Graph Theory Analysis of Functional Connectivity Combined with Machine Learning Approaches Demonstrates Widespread Network Differences and Predicts Clinical Variables in Temporal Lobe Epilepsy,"Mazrooyisebdani M, Nair VA, Garcia-Ramos C, Mohanty R, Meyerand E, Hermann B, Prabhakaran V, Ahmed R.",Brain Connect. 2020 Feb;10(1):39-50. doi: 10.1089/brain.2019.0702.,Mazrooyisebdani M,Brain Connect,2020,2020/01/28,PMC7044761,,10.1089/brain.2019.0702,1,85,27,,,,0,0,,,
2,33186572,Visuo-spatial attention to the blind hemifield of hemianopic patients: Can it survive the impairment of visual awareness?,"Pedersini CA, Lingnau A, Sanchez-Lopez J, Cardobi N, Savazzi S, Marzi CA.",Neuropsychologia. 2020 Dec;149:107673. doi: 10.1016/j.neuropsychologia.2020.107673. Epub 2020 Nov 10.,Pedersini CA,Neuropsychologia,2020,2020/11/13,,,10.1016/j.neuropsychologia.2020.107673,1,6,5,,,,0,0,,seed-based,
3,32848913,Repetitive Transcranial Magnetic Stimulation Improves Amygdale Functional Connectivity in Major Depressive Disorder,"Chen FJ, Gu CZ, Zhai N, Duan HF, Zhai AL, Zhang X.",Front Psychiatry. 2020 Jul 31;11:732. doi: 10.3389/fpsyt.2020.00732. eCollection 2020.,Chen FJ,Front Psychiatry,2020,2020/08/28,PMC7411126,,10.3389/fpsyt.2020.00732,1,20,20,,,,0,0,,"seed-based, TMS",
4,32195610,Time-Delay Latency of Resting-State Blood Oxygen Level-Dependent Signal Related to the Level of Consciousness in Patients with Severe Consciousness Impairment,"Rudas J, Martínez D, Castellanos G, Demertzi A, Martial C, Carriére M, Aubinet C, Soddu A, Laureys S, Gómez F.",Brain Connect. 2020 Mar;10(2):83-94. doi: 10.1089/brain.2019.0716.,Rudas J,Brain Connect,2020,2020/03/21,,,10.1089/brain.2019.0716,1,48,27,,,,0,0,,,
5,32470339,Trait-related changes in brain network topology in premenstrual dysphoric disorder,"Dan R, Reuveni I, Canetti L, Weinstock M, Segman R, Goelman G, Bonne O.",Horm Behav. 2020 Aug;124:104782. doi: 10.1016/j.yhbeh.2020.104782. Epub 2020 Jun 17.,Dan R,Horm Behav,2020,2020/05/30,,,10.1016/j.yhbeh.2020.104782,1,27,24,,,,0,0,,,
6,32167267,Frontoparietal and salience network alterations in obsessive–compulsive disorder: insights from independent component and sliding time window analyses,"Gürsel DA, Reinholz L, Bremer B, Schmitz-Koep B, Franzmeier N, Avram M, Koch K.",J Psychiatry Neurosci. 2020 May 1;45(3):214-221. doi: 10.1503/jpn.190038.,Gürsel DA,J Psychiatry Neurosci,2020,2020/03/14,PMC7828976,,10.1503/jpn.190038,1,49,41,,,,0,0,,,
7,31964691,An fMRI-based neural marker for migraine without aura,"Tu Y, Zeng F, Lan L, Li Z, Maleki N, Liu B, Chen J, Wang C, Park J, Lang C, Yujie G, Liu M, Fu Z, Zhang Z, Liang F, Kong J.",Neurology. 2020 Feb 18;94(7):e741-e751. doi: 10.1212/WNL.0000000000008962. Epub 2020 Jan 21.,Tu Y,Neurology,2020,2020/01/23,PMC7176301,,10.1212/WNL.0000000000008962,0,,,,,,,,,prediction,
8,32067960,Anomalous intrinsic connectivity within and between visual and auditory networks in major depressive disorder,"Lu F, Cui Q, Huang X, Li L, Duan X, Chen H, Pang Y, He Z, Sheng W, Han S, Chen Y, Yang Y, Luo W, Yu Y, Jia X, Tang Q, Li D, Xie A, Chen H.",Prog Neuropsychopharmacol Biol Psychiatry. 2020 Jun 8;100:109889. doi: 10.1016/j.pnpbp.2020.109889. Epub 2020 Feb 14.,Lu F,Prog Neuropsychopharmacol Biol Psychiatry,2020,2020/02/19,,,10.1016/j.pnpbp.2020.109889,1,97,95,,,,1,1,interpretation,seed-based,
9,32128439,Age-related change of auditory functional connectivity in Human Connectome Project data and tinnitus patients,"Minami SB, Oishi N, Watabe T, Wasano K, Ogawa K.",Laryngoscope Investig Otolaryngol. 2020 Feb 5;5(1):132-136. doi: 10.1002/lio2.338. eCollection 2020 Feb.,Minami SB,Laryngoscope Investig Otolaryngol,2020,2020/03/05,PMC7042643,,10.1002/lio2.338,1,6,6,5,5,5,1,0,limitation,seed-based,
