PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,78
31674222,Structural connectivity alterations in chronic and episodic migraine: A diffusion magnetic resonance imaging connectomics study,"Planchuelo-Gómez Á, García-Azorín D, Guerrero ÁL, Aja-Fernández S, Rodríguez M, de Luis-García R.",Cephalalgia. 2020 Apr;40(4):367-383. doi: 10.1177/0333102419885392. Epub 2019 Nov 1.,Planchuelo-Gómez Á,Cephalalgia,2020,2019/11/02,,,10.1177/0333102419885392,,1,54,56,50,,,1,1,motivation,,
32889357,"White matter structural network disturbances in first-episode, drug-naïve adolescents with generalized anxiety disorder","Yang F, Zhang J, Fan L, Liao M, Wang Y, Chen C, Zhai T, Zhang Y, Li L, Su L, Dai Z.",J Psychiatr Res. 2020 Nov;130:394-404. doi: 10.1016/j.jpsychires.2020.08.004. Epub 2020 Aug 21.,Yang F,J Psychiatr Res,2020,2020/09/05,,,10.1016/j.jpsychires.2020.08.004,,1,34,27,,,,1,0,"motivation, limitation",,
32116998,Connectivity Patterns of Subthalamic Stimulation Influence Pain Outcomes in Parkinson's Disease,"Cury RG, Teixeira MJ, Galhardoni R, Silva V, Iglesio R, França C, Arnaut D, Fonoff ET, Barbosa ER, Ciampi de Andrade D.",Front Neurol. 2020 Feb 12;11:9. doi: 10.3389/fneur.2020.00009. eCollection 2020.,Cury RG,Front Neurol,2020,2020/03/03,PMC7028764,,10.3389/fneur.2020.00009,,0,,,,,,,,,not case-control,
32714172,Aerobic Exercise Induces Functional and Structural Reorganization of CNS Networks in Multiple Sclerosis: A Randomized Controlled Trial,"Stellmann JP, Maarouf A, Schulz KH, Baquet L, Pöttgen J, Patra S, Penner IK, Gellißen S, Ketels G, Besson P, Ranjeva JP, Guye M, Nolte G, Engel AK, Audoin B, Heesen C, Gold SM.",Front Hum Neurosci. 2020 Jun 30;14:255. doi: 10.3389/fnhum.2020.00255. eCollection 2020.,Stellmann JP,Front Hum Neurosci,2020,2020/07/28,PMC7340166,,10.3389/fnhum.2020.00255,,1,57,30,,,,0,,,,
32499013,Cohort study into the neural correlates of postoperative delirium: the role of connectivity and slow-wave activity,"Tanabe S, Mohanty R, Lindroth H, Casey C, Ballweg T, Farahbakhsh Z, Krause B, Prabhakaran V, Banks MI, Sanders RD.",Br J Anaesth. 2020 Jul;125(1):55-66. doi: 10.1016/j.bja.2020.02.027. Epub 2020 Jun 1.,Tanabe S,Br J Anaesth,2020,2020/06/06,PMC7339874,,10.1016/j.bja.2020.02.027,,0,,,,,,,,within subject,,
32950486,Compensatory brainstem functional and structural connectivity in patients with degenerative cervical myelopathy by probabilistic tractography and functional MRI,"Wang C, Laiwalla A, Salamon N, Ellingson BM, Holly LT.",Brain Res. 2020 Dec 15;1749:147129. doi: 10.1016/j.brainres.2020.147129. Epub 2020 Sep 17.,Wang C,Brain Res,2020,2020/09/20,PMC7606789,NIHMS1637582,10.1016/j.brainres.2020.147129,B,1,26,32,,,,0,0,,one single seed seed-based,
32151761,Multidimensional associations between cognition and connectome organization in temporal lobe epilepsy,"Rodríguez-Cruces R, Bernhardt BC, Concha L.",Neuroimage. 2020 Jun;213:116706. doi: 10.1016/j.neuroimage.2020.116706. Epub 2020 Mar 6.,Rodríguez-Cruces R,Neuroimage,2020,2020/03/11,,,10.1016/j.neuroimage.2020.116706,B,1,24,9,20,5,,0,0,,,
32027654,Computational modelling of the long-term effects of brain stimulation on the local and global structural connectivity of epileptic patients,"Giannakakis E, Hutchings F, Papasavvas CA, Han CE, Weber B, Zhang C, Kaiser M.",PLoS One. 2020 Feb 6;15(2):e0221380. doi: 10.1371/journal.pone.0221380. eCollection 2020.,Giannakakis E,PLoS One,2020,2020/02/07,PMC7004372,,10.1371/journal.pone.0221380,B,0,,,,,,,,,modelling,
32153434,BDNF Serum Levels are Associated With White Matter Microstructure in Schizophrenia - A Pilot Study,"Hammans C, Neugebauer K, Kumar V, Mevissen L, Sternkopf MA, Novakovic A, Wensing T, Habel U, Abel T, Nickl-Jockschat T.",Front Psychiatry. 2020 Feb 21;11:31. doi: 10.3389/fpsyt.2020.00031. eCollection 2020.,Hammans C,Front Psychiatry,2020,2020/03/11,PMC7046752,,10.3389/fpsyt.2020.00031,B,1,20,19,,,,0,,,,
32375368,Consciousness and the Dimensionality of DOC Patients via the Generalized Ising Model,"Abeyasinghe PM, Aiello M, Nichols ES, Cavaliere C, Fiorenza S, Masotta O, Borrelli P, Owen AM, Estraneo A, Soddu A.",J Clin Med. 2020 May 4;9(5):1342. doi: 10.3390/jcm9051342.,Abeyasinghe PM,J Clin Med,2020,2020/05/08,PMC7290966,,10.3390/jcm9051342,B,0,,,,,,,,,simulation,
