PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS
34356177,Brain Structural Connectivity Differences in Patients with Normal Cognition and Cognitive Impairment,"Zdanovskis N, Platkājis A, Kostiks A, Karelis G, Grigorjeva O.",Brain Sci. 2021 Jul 18;11(7):943. doi: 10.3390/brainsci11070943.,Zdanovskis N,Brain Sci,2021,2021/08/06,PMC8305196,,10.3390/brainsci11070943,1,11,11,,,,0,0,,
34452597,Alterations of structural connectivity and structural co-variance network in focal cortical dysplasia,"Lee DA, Lee HJ, Kim HC, Park KM.",BMC Neurol. 2021 Aug 27;21(1):330. doi: 10.1186/s12883-021-02358-7.,Lee DA,BMC Neurol,2021,2021/08/28,PMC8394627,,10.1186/s12883-021-02358-7,1,35,37,,,,0,0,,
33792194,Structural connectivity networks in Alzheimer's disease and Lewy body disease,"Baik K, Yang JJ, Jung JH, Lee YH, Chung SJ, Yoo HS, Sohn YH, Lee PH, Lee JM, Ye BS.",Brain Behav. 2021 May;11(5):e02112. doi: 10.1002/brb3.2112. Epub 2021 Apr 1.,Baik K,Brain Behav,2021,2021/04/01,PMC8119831,,10.1002/brb3.2112,1,22,37,19,36,,0,0,,
34408195,Dissociation of structural and functional connectomic coherence in glioma patients,"Jütten K, Weninger L, Mainz V, Gauggel S, Binkofski F, Wiesmann M, Merhof D, Clusmann H, Na CH.",Sci Rep. 2021 Aug 18;11(1):16790. doi: 10.1038/s41598-021-95932-5.,Jütten K,Sci Rep,2021,2021/08/19,PMC8373888,,10.1038/s41598-021-95932-5,1,29,27,,,,0,0,,
33588002,Divergent Alterations of Structural-Functional Connectivity Couplings in First-episode and Chronic Schizophrenia Patients,"Kong LY, Huang YY, Lei BY, Ke PF, Li HH, Zhou J, Xiong DS, Li GX, Chen J, Li XB, Xiang ZM, Ning YP, Wu FC, Wu K.",Neuroscience. 2021 Apr 15;460:1-12. doi: 10.1016/j.neuroscience.2021.02.008. Epub 2021 Feb 13.,Kong LY,Neuroscience,2021,2021/02/15,,,10.1016/j.neuroscience.2021.02.008,1,61,73,78,,,0,0,,
34762204,Structural Connectivity Affecting Aspiration After Stroke,"Yang HE, Kang H, Kyeong S, Kim DH.",Dysphagia. 2021 Nov 11. doi: 10.1007/s00455-021-10388-z. Online ahead of print.,Yang HE,Dysphagia,2021,2021/11/11,,,10.1007/s00455-021-10388-z,1,18,22,,,,0,0,,
34439659,Structural Connectivity Alterations in Operculo-Insular Epilepsy,"Obaid S, Rheault F, Edde M, Guberman GI, St-Onge E, Sidhu J, Bouthillier A, Daducci A, Ghaziri J, Bojanowski MW, Nguyen DK, Descoteaux M.",Brain Sci. 2021 Aug 5;11(8):1041. doi: 10.3390/brainsci11081041.,Obaid S,Brain Sci,2021,2021/08/27,PMC8392362,,10.3390/brainsci11081041,1,9,22,8,,,1,0,motivaiton,
34354324,Joint analysis of structural connectivity and cortical surface features: correlates with mild traumatic brain injury,"Kerley CI, Cai LY, Yu C, Crawford LM, Elenberger JM, Singh ES, Schilling KG, Aboud KS, Landman BA, Rex TS.",Proc SPIE Int Soc Opt Eng. 2021;11596:115960R. doi: 10.1117/12.2580902. Epub 2021 Feb 15.,Kerley CI,Proc SPIE Int Soc Opt Eng,2021,2021/08/06,PMC8336656,NIHMS1687678,10.1117/12.2580902,1,12,26,,,,0,0,,
34320254,Topological Alterations in White Matter Structural Networks in Blepharospasm,"Guo Y, Peng K, Liu Y, Zhong L, Dang C, Yan Z, Wang Y, Zeng J, Zhang W, Ou Z, Liu G.",Mov Disord. 2021 Dec;36(12):2802-2810. doi: 10.1002/mds.28736. Epub 2021 Jul 28.,Guo Y,Mov Disord,2021,2021/07/28,,,10.1002/mds.28736,1,41,41,41,,,0,0,,
34302413,"Brain structural connectivity, anhedonia, and phenotypes of major depressive disorder: A structural equation model approach","Pfarr JK, Brosch K, Meller T, Ringwald KG, Schmitt S, Stein F, Meinert S, Grotegerd D, Thiel K, Lemke H, Winter A, Waltemate L, Hahn T, Opel N, Repple J, Bauer J, Jansen A, Dannlowski U, Krug A, Kircher T, Nenadić I.",Hum Brain Mapp. 2021 Oct 15;42(15):5063-5074. doi: 10.1002/hbm.25600. Epub 2021 Jul 24.,Pfarr JK,Hum Brain Mapp,2021,2021/07/24,PMC8449111,,10.1002/hbm.25600,1,595,,,,,0,0,,Not a patient control study (but 595 MDD patients)
33454401,Mapping grip force to motor networks,"Weitnauer L, Frisch S, Melie-Garcia L, Preisig M, Schroeter ML, Sajfutdinow I, Kherif F, Draganski B.",Neuroimage. 2021 Apr 1;229:117735. doi: 10.1016/j.neuroimage.2021.117735. Epub 2021 Jan 14.,Weitnauer L,Neuroimage,2021,2021/01/17,,,10.1016/j.neuroimage.2021.117735,1,55,67,,,,0,0,,
