random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,64
0,30775433,Human consciousness is supported by dynamic complex patterns of brain signal coordination,"Demertzi A, Tagliazucchi E, Dehaene S, Deco G, Barttfeld P, Raimondo F, Martial C, Fernández-Espejo D, Rohaut B, Voss HU, Schiff ND, Owen AM, Laureys S, Naccache L, Sitt JD.",Sci Adv. 2019 Feb 6;5(2):eaat7603. doi: 10.1126/sciadv.aat7603. eCollection 2019 Feb.,Demertzi A,Sci Adv,2019,2019/02/19,PMC6365115,,10.1126/sciadv.aat7603,K,K,0,,,,,,,,,FC,
1,31504228,Dynamic modular-level alterations of structural-functional coupling in clinically isolated syndrome,"Koubiyr I, Besson P, Deloire M, Charre-Morin J, Saubusse A, Tourdias T, Brochet B, Ruet A.",Brain. 2019 Nov 1;142(11):3428-3439. doi: 10.1093/brain/awz270.,Koubiyr I,Brain,2019,2019/09/11,,,10.1093/brain/awz270,K,K,1,41,19,,,,0,0,,,
2,31541155,Disrupted brain structural connectivity in Pediatric Bipolar Disorder with psychosis,"Fernandes HM, Cabral J, van Hartevelt TJ, Lord LD, Gleesborg C, Møller A, Deco G, Whybrow PC, Petrovic P, James AC, Kringelbach ML.",Sci Rep. 2019 Sep 20;9(1):13638. doi: 10.1038/s41598-019-50093-4.,Fernandes HM,Sci Rep,2019,2019/09/22,PMC6754428,,10.1038/s41598-019-50093-4,K,K,1,15,15,,,,1,0,"motivation, limitation",,
3,29683371,Hippocampal-related memory network in multiple sclerosis: A structural connectivity analysis,"Llufriu S, Rocca MA, Pagani E, Riccitelli GC, Solana E, Colombo B, Rodegher M, Falini A, Comi G, Filippi M.",Mult Scler. 2019 May;25(6):801-810. doi: 10.1177/1352458518771838. Epub 2018 Apr 23.,Llufriu S,Mult Scler,2019,2018/04/24,,,10.1177/1352458518771838,K,,1,75,50,,,,0,0,,,
4,31827784,Detecting neurodegenerative pathology in multiple sclerosis before irreversible brain tissue loss sets in,"Van Schependom J, Guldolf K, D'hooghe MB, Nagels G, D'haeseleer M.",Transl Neurodegener. 2019 Dec 9;8:37. doi: 10.1186/s40035-019-0178-4. eCollection 2019.,Van Schependom J,Transl Neurodegener,2019,2019/12/13,PMC6900860,,10.1186/s40035-019-0178-4,K,,0,,,,,,,,,review,
5,30837935,Prefrontal-Premotor Pathways and Motor Output in Well-Recovered Stroke Patients,"Schulz R, Runge CG, Bönstrup M, Cheng B, Gerloff C, Thomalla G, Hummel FC.",Front Neurol. 2019 Feb 14;10:105. doi: 10.3389/fneur.2019.00105. eCollection 2019.,Schulz R,Front Neurol,2019,2019/03/07,PMC6382735,,10.3389/fneur.2019.00105,K,,1,26,30,,,,0,0,,,
6,31736805,Abnormal Connectivity Within Anterior Cortical Midline Structures in Bipolar Disorder: Evidence From Integrated MRI and Functional MRI,"Yang J, Pu W, Ouyang X, Tao H, Chen X, Huang X, Liu Z.",Front Psychiatry. 2019 Oct 29;10:788. doi: 10.3389/fpsyt.2019.00788. eCollection 2019.,Yang J,Front Psychiatry,2019,2019/11/19,PMC6829675,,10.3389/fpsyt.2019.00788,K,,1,83,94,,,,1,0,"interpretation, limitation",,
7,30929575,Strong-Weak Pruning for Brain Network Identification in Connectome-Wide Neuroimaging: Application to Amyotrophic Lateral Sclerosis Disease Stage Characterization,"Serra A, Galdi P, Pesce E, Fratello M, Trojsi F, Tedeschi G, Tagliaferri R, Esposito F.",Int J Neural Syst. 2019 Sep;29(7):1950007. doi: 10.1142/S0129065719500072. Epub 2019 Feb 14.,Serra A,Int J Neural Syst,2019,2019/04/02,,,10.1142/S0129065719500072,K,,0,,,,,,,,,method paper,
8,31377672,A structural connectivity convergence zone in the ventral and anterior temporal lobes: Data-driven evidence from structural imaging,"Bajada CJ, Trujillo-Barreto NJ, Parker GJM, Cloutman LL, Lambon Ralph MA.",Cortex. 2019 Nov;120:298-307. doi: 10.1016/j.cortex.2019.06.014. Epub 2019 Jul 11.,Bajada CJ,Cortex,2019,2019/08/05,PMC6838667,,10.1016/j.cortex.2019.06.014,K,,0,,,,,,,,,not case/control,
9,29100949,Plasticity of the human visual brain after an early cortical lesion,"Mikellidou K, Arrighi R, Aghakhanyan G, Tinelli F, Frijia F, Crespi S, De Masi F, Montanaro D, Morrone MC.",Neuropsychologia. 2019 May;128:166-177. doi: 10.1016/j.neuropsychologia.2017.10.033. Epub 2017 Oct 31.,Mikellidou K,Neuropsychologia,2019,2017/11/05,,,10.1016/j.neuropsychologia.2017.10.033,K,,0,,,,,,,,,case report,
