PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,
35067356,"Repetitive Transcranial Magnetic Stimulation in Alcohol Dependence: A Randomized, Double-Blind, Sham-Controlled Proof-of-Concept Trial Targeting the Medial Prefrontal and Anterior Cingulate Cortices","Harel M, Perini I, Kämpe R, Alyagon U, Shalev H, Besser I, Sommer WH, Heilig M, Zangen A.",Biol Psychiatry. 2021 Dec 6:S0006-3223(21)01826-6. doi: 10.1016/j.biopsych.2021.11.020. Online ahead of print.,Harel M,Biol Psychiatry,2021,2022/01/24,,,10.1016/j.biopsych.2021.11.020,1,25,26,,,,1,1,motivation,,200
34408719,Functional Connectivity of the Anterior Nucleus of the Thalamus in Pediatric Focal Epilepsy,"Piper RJ, Tangwiriyasakul C, Shamshiri EA, Centeno M, He X, Richardson MP, Tisdall MM, Carmichael DW.",Front Neurol. 2021 Aug 2;12:670881. doi: 10.3389/fneur.2021.670881. eCollection 2021.,Piper RJ,Front Neurol,2021,2021/08/19,PMC8365837,,10.3389/fneur.2021.670881,1,35,20,,,,0,0,,,
33716691,Structural and Functional Changes Are Related to Cognitive Status in Wilson's Disease,"Hu S, Xu C, Dong T, Wu H, Wang Y, Wang A, Kan H, Li C.",Front Hum Neurosci. 2021 Feb 25;15:610947. doi: 10.3389/fnhum.2021.610947. eCollection 2021.,Hu S,Front Hum Neurosci,2021,2021/03/15,PMC7947794,,10.3389/fnhum.2021.610947,1,26,22,,,,0,0,,,
34056601,Early parietofrontal network upregulation relates to future persistent deficits after severe stroke-a prospective cohort study,"Backhaus W, Braaß H, Higgen FL, Gerloff C, Schulz R.",Brain Commun. 2021 May 4;3(2):fcab097. doi: 10.1093/braincomms/fcab097. eCollection 2021.,Backhaus W,Brain Commun,2021,2021/05/31,PMC8154858,,10.1093/braincomms/fcab097,1,19,19,,,,1,1,motivation,,
33584497,Resting-State Cerebello-Cortical Dysfunction in Parkinson's Disease,"Palmer WC, Cholerton BA, Zabetian CP, Montine TJ, Grabowski TJ, Rane S.",Front Neurol. 2021 Jan 28;11:594213. doi: 10.3389/fneur.2020.594213. eCollection 2020.,Palmer WC,Front Neurol,2021,2021/02/15,PMC7876057,,10.3389/fneur.2020.594213,1,62,33,,,,0,0,,,
33642982,The Neural Mechanisms of Tinnitus: A Perspective From Functional Magnetic Resonance Imaging,"Hu J, Cui J, Xu JJ, Yin X, Wu Y, Qi J.",Front Neurosci. 2021 Feb 11;15:621145. doi: 10.3389/fnins.2021.621145. eCollection 2021.,Hu J,Front Neurosci,2021,2021/03/01,PMC7905063,,10.3389/fnins.2021.621145,0,,,,,,,,,REVIEW,
33188473,Frequency-specific altered global signal topography in drug-naïve first-episode patients with adolescent-onset schizophrenia,"Wang X, Liao W, Han S, Li J, Wang Y, Zhang Y, Zhao J, Chen H.",Brain Imaging Behav. 2021 Aug;15(4):1876-1885. doi: 10.1007/s11682-020-00381-9.,Wang X,Brain Imaging Behav,2021,2020/11/14,,,10.1007/s11682-020-00381-9,1,39,31,,,,0,0,,,
34512534,Abnormal Functional Connectivity of Posterior Cingulate Cortex Correlates With Phonemic Verbal Fluency Deficits in Major Depressive Disorder,"Li D, Zhang H, Liu Y, Liang X, Chen Y, Zheng Y, Qiu S, Cui Y.",Front Neurol. 2021 Aug 26;12:724874. doi: 10.3389/fneur.2021.724874. eCollection 2021.,Li D,Front Neurol,2021,2021/09/13,PMC8427063,,10.3389/fneur.2021.724874,1,34,34,,,,0,0,,,
34912182,Fast Independent Component Analysis Algorithm-Based Functional Magnetic Resonance Imaging in the Diagnosis of Changes in Brain Functional Areas of Cerebral Infarction,"Du N, Zhang Z, Xiao Y, Jiang L.",Contrast Media Mol Imaging. 2021 Nov 28;2021:5177037. doi: 10.1155/2021/5177037. eCollection 2021.,Du N,Contrast Media Mol Imaging,2021,2021/12/16,PMC8645397,,10.1155/2021/5177037,1,50,30,,,,0,0,,,
33938990,Altered interhemispheric functional homotopy and connectivity in temporal lobe epilepsy based on fMRI and multivariate pattern analysis,"Shi K, Pang X, Wang Y, Li C, Long Q, Zheng J.",Neuroradiology. 2021 Nov;63(11):1873-1882. doi: 10.1007/s00234-021-02706-x. Epub 2021 May 3.,Shi K,Neuroradiology,2021,2021/05/03,,,10.1007/s00234-021-02706-x,1,36,37,,,,0,0,,,
32710339,Spontaneous thought-related network connectivity predicts sertraline effect on major depressive disorder,"Hsu LM, Lane TJ, Wu CW, Lin CY, Yeh CB, Kao HW, Lin CP.",Brain Imaging Behav. 2021 Aug;15(4):1705-1717. doi: 10.1007/s11682-020-00364-w.,Hsu LM,Brain Imaging Behav,2021,2020/07/26,,,10.1007/s11682-020-00364-w,1,22,35,,,,0,0,,,
33068681,Increased ALFF and functional connectivity of the right striatum in bipolar disorder patients,"Zhang Z, Bo Q, Li F, Zhao L, Wang Y, Liu R, Chen X, Wang C, Zhou Y.",Prog Neuropsychopharmacol Biol Psychiatry. 2021 Dec 20;111:110140. doi: 10.1016/j.pnpbp.2020.110140. Epub 2020 Oct 14.,Zhang Z,Prog Neuropsychopharmacol Biol Psychiatry,2021,2020/10/17,,,10.1016/j.pnpbp.2020.110140,1,65,85,,,,0,0,,,
31931027,"Abnormal dynamic functional network connectivity of the mirror neuron system network and the mentalizing network in patients with adolescent-onset, first-episode, drug-naïve schizophrenia","Sun F, Zhao Z, Lan M, Xu Y, Huang M, Xu D.",Neurosci Res. 2021 Jan;162:63-70. doi: 10.1016/j.neures.2020.01.003. Epub 2020 Jan 10.,Sun F,Neurosci Res,2021,2020/01/14,,,10.1016/j.neures.2020.01.003,1,28,22,,,,0,0,,,
33679491,Glutamate- and GABA-Modulated Connectivity in Auditory Hallucinations-A Combined Resting State fMRI and MR Spectroscopy Study,"Weber S, Hjelmervik H, Craven AR, Johnsen E, Kroken RA, Løberg EM, Ersland L, Kompus K, Hugdahl K.",Front Psychiatry. 2021 Feb 17;12:643564. doi: 10.3389/fpsyt.2021.643564. eCollection 2021.,Weber S,Front Psychiatry,2021,2021/03/08,PMC7925618,,10.3389/fpsyt.2021.643564,1,38,43,,,,1,0,limitations,,
33933525,Tracking whole-brain connectivity dynamics in the resting-state fMRI with post-facial paralysis synkinesis,"Ma ZZ, Wu JJ, Hua XY, Zheng MX, Xing XX, Li SS, Shan CL, Ding W, Xu JG.",Brain Res Bull. 2021 Aug;173:108-115. doi: 10.1016/j.brainresbull.2021.04.025. Epub 2021 Apr 30.,Ma ZZ,Brain Res Bull,2021,2021/05/02,,,10.1016/j.brainresbull.2021.04.025,1,31,19,,,,0,0,,,
