random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,67
0,30630835,Resting-State Functional Connectivity of the Middle Frontal Gyrus Can Predict Language Lateralization in Patients with Brain Tumors,"Gohel S, Laino ME, Rajeev-Kumar G, Jenabi M, Peck K, Hatzoglou V, Tabar V, Holodny AI, Vachha B.",AJNR Am J Neuroradiol. 2019 Feb;40(2):319-325. doi: 10.3174/ajnr.A5932. Epub 2019 Jan 10.,Gohel S,AJNR Am J Neuroradiol,2019,2019/01/12,PMC6375738,NIHMS1515826,10.3174/ajnr.A5932,B,0,,,,,,,,,not case/contro;,
1,30944165,Using fMRI connectivity to define a treatment-resistant form of post-traumatic stress disorder,"Etkin A, Maron-Katz A, Wu W, Fonzo GA, Huemer J, Vértes PE, Patenaude B, Richiardi J, Goodkind MS, Keller CJ, Ramos-Cejudo J, Zaiko YV, Peng KK, Shpigel E, Longwell P, Toll RT, Thompson A, Zack S, Gonzalez B, Edelstein R, Chen J, Akingbade I, Weiss E, Hart R, Mann S, Durkin K, Baete SH, Boada FE, Genfi A, Autea J, Newman J, Oathes DJ, Lindley SE, Abu-Amara D, Arnow BA, Crossley N, Hallmayer J, Fossati S, Rothbaum BO, Marmar CR, Bullmore ET, O'Hara R.",Sci Transl Med. 2019 Apr 3;11(486):eaal3236. doi: 10.1126/scitranslmed.aal3236.,Etkin A,Sci Transl Med,2019,2019/04/05,PMC6980337,NIHMS1062539,10.1126/scitranslmed.aal3236,B,1,36,66,,,,0,,,,
2,30979801,Reduced default mode network functional connectivity in patients with recurrent major depressive disorder,"Yan CG, Chen X, Li L, Castellanos FX, Bai TJ, Bo QJ, Cao J, Chen GM, Chen NX, Chen W, Cheng C, Cheng YQ, Cui XL, Duan J, Fang YR, Gong QY, Guo WB, Hou ZH, Hu L, Kuang L, Li F, Li KM, Li T, Liu YS, Liu ZN, Long YC, Luo QH, Meng HQ, Peng DH, Qiu HT, Qiu J, Shen YD, Shi YS, Wang CY, Wang F, Wang K, Wang L, Wang X, Wang Y, Wu XP, Wu XR, Xie CM, Xie GR, Xie HY, Xie P, Xu XF, Yang H, Yang J, Yao JS, Yao SQ, Yin YY, Yuan YG, Zhang AX, Zhang H, Zhang KR, Zhang L, Zhang ZJ, Zhou RB, Zhou YT, Zhu JJ, Zou CJ, Si TM, Zuo XN, Zhao JP, Zang YF.",Proc Natl Acad Sci U S A. 2019 Apr 30;116(18):9078-9083. doi: 10.1073/pnas.1900390116. Epub 2019 Apr 12.,Yan CG,Proc Natl Acad Sci U S A,2019,2019/04/14,PMC6500168,,10.1073/pnas.1900390116,B,1,1300,1128,,,,1,0,"motivation, interpretation",,
3,31770702,A positive shift in resting-state functional connectivity between the insula and default mode network regions reflects the duration of illness in gambling disorder patients without lifetime substance abuse,"Tsurumi K, Aso T, Kawada R, Murai T, Takahashi H.",Psychiatry Res Neuroimaging. 2020 Jan 30;295:111018. doi: 10.1016/j.pscychresns.2019.111018. Epub 2019 Nov 14.,Tsurumi K,Psychiatry Res Neuroimaging,2020,2019/11/27,,,10.1016/j.pscychresns.2019.111018,B,1,26,26,,,,0,,,,
4,31946016,Investigations on the Functional connectivity disruptive patterns of progressive neurodegenerative disorders,"A K, Prakash SS, P S, Carshia S A.",Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:800-803. doi: 10.1109/EMBC.2019.8856919.,A K,Annu Int Conf IEEE Eng Med Biol Soc,2019,2020/01/18,,,10.1109/EMBC.2019.8856919,B,0,,,,,,,,,No Access,
5,30648324,Frontostriatal network dysfunction as a domain-general mechanism underlying phantom perception,"Hullfish J, Abenes I, Yoo HB, De Ridder D, Vanneste S.",Hum Brain Mapp. 2019 May;40(7):2241-2251. doi: 10.1002/hbm.24521. Epub 2019 Jan 15.,Hullfish J,Hum Brain Mapp,2019,2019/01/17,PMC6865744,,10.1002/hbm.24521,B,1,90,94,,,,0,,,seed-based,
6,31456656,Resting State fMRI: Going Through the Motions,"Maknojia S, Churchill NW, Schweizer TA, Graham SJ.",Front Neurosci. 2019 Aug 13;13:825. doi: 10.3389/fnins.2019.00825. eCollection 2019.,Maknojia S,Front Neurosci,2019,2019/08/29,PMC6700228,,10.3389/fnins.2019.00825,B,0,,,,,,,,,review,
7,31031661,Altered Local and Large-Scale Dynamic Functional Connectivity Variability in Posttraumatic Stress Disorder: A Resting-State fMRI Study,"Fu S, Ma X, Wu Y, Bai Z, Yi Y, Liu M, Lan Z, Hua K, Huang S, Li M, Jiang G.",Front Psychiatry. 2019 Apr 12;10:234. doi: 10.3389/fpsyt.2019.00234. eCollection 2019.,Fu S,Front Psychiatry,2019,2019/04/30,PMC6474202,,10.3389/fpsyt.2019.00234,B,1,22,22,,,,0,,,dFC,
8,30554861,Effects of intranasal oxytocin on distraction as emotion regulation strategy in patients with post-traumatic stress disorder,"Koch SBJ, van Zuiden M, Nawijn L, Frijling JL, Veltman DJ, Olff M.",Eur Neuropsychopharmacol. 2019 Dec;29(2):266-277. doi: 10.1016/j.euroneuro.2018.12.002. Epub 2018 Dec 13.,Koch SBJ,Eur Neuropsychopharmacol,2019,2018/12/18,,,10.1016/j.euroneuro.2018.12.002,B,0,,,,,,,,,within-subject,
9,30772067,Altered dynamic global signal topography in antipsychotic-naive adolescents with early-onset schizophrenia,"Wang X, Liao W, Han S, Li J, Zhang Y, Zhao J, Chen H.",Schizophr Res. 2019 Jun;208:308-316. doi: 10.1016/j.schres.2019.01.035. Epub 2019 Feb 14.,Wang X,Schizophr Res,2019,2019/02/18,,,10.1016/j.schres.2019.01.035,B,1,39,31,,,,0,,,dFC,
10,31353828,Mindfulness-based cognitive therapy is associated with distinct resting-state neural patterns in patients with generalized anxiety disorder,"Zhao XR, Chen ZF, Kang CY, Liu RX, Bai JY, Cao YP, Cheng YQ, Xu XF, Zhang YL.",Asia Pac Psychiatry. 2019 Dec;11(4):e12368. doi: 10.1111/appy.12368. Epub 2019 Jul 28.,Zhao XR,Asia Pac Psychiatry,2019,2019/07/30,,,10.1111/appy.12368,B,0,,,,,,,,,within subject,
11,28918693,Cognitive control networks in OCD: A resting-state connectivity study in unmedicated patients with obsessive-compulsive disorder and their unaffected relatives,"de Vries FE, de Wit SJ, van den Heuvel OA, Veltman DJ, Cath DC, van Balkom AJLM, van der Werf YD.",World J Biol Psychiatry. 2019 Mar;20(3):230-242. doi: 10.1080/15622975.2017.1353132. Epub 2017 Sep 18.,de Vries FE,World J Biol Psychiatry,2019,2017/09/19,,,10.1080/15622975.2017.1353132,B,1,36,16,39,,,0,,,seed-based,
12,30632385,Dynamic Functional Network Connectivity in Schizophrenia with Magnetoencephalography and Functional Magnetic Resonance Imaging: Do Different Timescales Tell a Different Story?,"Sanfratello L, Houck JM, Calhoun VD.",Brain Connect. 2019 Apr;9(3):251-262. doi: 10.1089/brain.2018.0608.,Sanfratello L,Brain Connect,2019,2019/01/12,PMC6479258,,10.1089/brain.2018.0608,B,0,,,,,,,,,No Access,
13,31171498,Functional Connectivity Between Sensory-Motor Subnetworks Reflects the Duration of Untreated Psychosis and Predicts Treatment Outcome of First-Episode Drug-Naïve Schizophrenia,"Zhang Y, Xu L, Hu Y, Wu J, Li C, Wang J, Yang Z.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Aug;4(8):697-705. doi: 10.1016/j.bpsc.2019.04.002. Epub 2019 Apr 15.,Zhang Y,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,2019/06/08,,,10.1016/j.bpsc.2019.04.002,B,0,60,60,,,,0,,,,
14,30670949,The Cerebellar Predictions for Social Interactions: Theory of Mind Abilities in Patients With Degenerative Cerebellar Atrophy,"Clausi S, Olivito G, Lupo M, Siciliano L, Bozzali M, Leggio M.",Front Cell Neurosci. 2019 Jan 8;12:510. doi: 10.3389/fncel.2018.00510. eCollection 2018.,Clausi S,Front Cell Neurosci,2019,2019/01/24,PMC6332472,,10.3389/fncel.2018.00510,S,1,27,27,,,,0,,,seed based,
15,31123139,Thalamic arousal network disturbances in temporal lobe epilepsy and improvement after surgery,"González HFJ, Chakravorti S, Goodale SE, Gupta K, Claassen DO, Dawant B, Morgan VL, Englot DJ.",J Neurol Neurosurg Psychiatry. 2019 Oct;90(10):1109-1116. doi: 10.1136/jnnp-2019-320748. Epub 2019 May 23.,González HFJ,J Neurol Neurosurg Psychiatry,2019,2019/05/25,PMC6744309,NIHMS1034503,10.1136/jnnp-2019-320748,S,1,26,26,,,,0,,,seed based and surgical intervention,
16,31075716,Aberrant fronto-striatal connectivity and fine motor function in schizophrenia,"Viher PV, Docx L, Van Hecke W, Parizel PM, Sabbe B, Federspiel A, Walther S, Morrens M.",Psychiatry Res Neuroimaging. 2019 Jun 30;288:44-50. doi: 10.1016/j.pscychresns.2019.04.010. Epub 2019 Apr 30.,Viher PV,Psychiatry Res Neuroimaging,2019,2019/05/11,,,10.1016/j.pscychresns.2019.04.010,S,1,19,16,,,,0,,,fc matrices from whole-brain rois,
17,31795053,Abnormal dynamic properties of functional connectivity in disorders of consciousness,"Cao B, Chen Y, Yu R, Chen L, Chen P, Weng Y, Chen Q, Song J, Xie Q, Huang R.",Neuroimage Clin. 2019;24:102071. doi: 10.1016/j.nicl.2019.102071. Epub 2019 Nov 5.,Cao B,Neuroimage Clin,2019,2019/12/05,PMC6881656,,10.1016/j.nicl.2019.102071,S,1,19,19,,,,0,,,dynamic fc,
18,30914909,Somatosensory Stimulation With XNKQ Acupuncture Modulates Functional Connectivity of Motor Areas,"Nierhaus T, Chang Y, Liu B, Shi X, Yi M, Witt CM, Pach D.",Front Neurosci. 2019 Mar 11;13:147. doi: 10.3389/fnins.2019.00147. eCollection 2019.,Nierhaus T,Front Neurosci,2019,2019/03/28,PMC6421982,,10.3389/fnins.2019.00147,S,0,,,,,,,,,not a case-control study,
19,31422550,Characterization of Cerebellar Atrophy and Resting State Functional Connectivity Patterns in Sporadic Adult-Onset Ataxia of Unknown Etiology (SAOA),"Jiang X, Faber J, Giordano I, Machts J, Kindler C, Dudesek A, Speck O, Kamm C, Düzel E, Jessen F, Spottke A, Vielhaber S, Boecker H, Klockgether T, Scheef L.",Cerebellum. 2019 Oct;18(5):873-881. doi: 10.1007/s12311-019-01072-y.,Jiang X,Cerebellum,2019,2019/08/19,,,10.1007/s12311-019-01072-y,S,1,49,37,,,,1,0,limitation,"""the presumed heterogeneity of SAOA may limit the statistical power and reproducibility of our results""",
20,29939349,"""Brain Connectivity Deviates by Sex and Hemisphere in the First Episode of Schizophrenia""-A Route to the Genetic Basis of Language and Psychosis?","Wang Q, Zhang J, Liu Z, Crow TJ, Zhang K, Palaniyappan L, Li M, Zhao L, Li X, Deng W, Guo W, Ma X, Cheng W, Ma L, Wan L, Lu G, Liu Z, Wang J, Feng J, Li T.",Schizophr Bull. 2019 Mar 7;45(2):484-494. doi: 10.1093/schbul/sby061.,Wang Q,Schizophr Bull,2019,2018/06/26,PMC6403095,,10.1093/schbul/sby061,S,1,132,84,116,102,125,0,,,"there are three more groups with samples of 84, 81 and 50",
